GeneID	B73_Z1_1	B73_Z1_2	B73_Z1_3	B73_Z2_1	B73_Z2_2	B73_Z2_3	B73_Z3_1	B73_Z3_2	B73_Z3_3
Zm00001eb000010	1.142238	1.009016	1.073696	1.175058	0.241440	1.732891	1.311850	1.274087	1.733233
Zm00001eb000020	22.418627	24.241472	18.368050	25.900511	5.897928	27.076586	33.176929	20.067144	20.588146
Zm00001eb000050	0.000000	0.159023	0.000000	19.220098	0.000000	15.314445	0.036067	0.000000	0.000000
Zm00001eb000060	13.745651	12.099608	16.474916	0.000000	1.371314	0.000000	10.432162	20.598637	28.857088
Zm00001eb000070	0.000000	0.000000	0.000000	20.780407	22.718590	16.906706	0.113027	0.000000	0.000000
Zm00001eb000080	13.265763	12.116940	20.004164	0.039436	0.000000	0.494531	50.704559	45.085270	30.972986
Zm00001eb000100	0.000000	0.000000	0.000000	0.263642	16.752607	5.796007	0.000000	0.000000	0.000000
Zm00001eb000110	0.000000	0.000000	0.000000	5.975601	0.021141	0.000000	0.237901	0.000000	0.000000
Zm00001eb000120	0.000000	0.062112	0.000000	0.004020	18.989334	0.000000	0.253351	0.000000	0.071488
Zm00001eb000140	0.000000	0.707412	0.089443	0.000000	0.000000	5.476804	7.999992	0.496200	0.457760
Zm00001eb000150	0.778183	4.721066	6.198221	5.581134	0.000000	5.763937	0.000000	6.081900	6.933567
Zm00001eb000170	4.958217	0.000000	0.000000	5.813661	0.000000	16.113762	0.000000	0.000000	0.000000
Zm00001eb000180	0.000000	0.000000	0.000000	20.574295	0.000000	17.627121	9.183616	0.000000	0.000000
Zm00001eb000200	0.000000	3.499111	4.537374	19.586573	4.764629	3.110578	6.779241	6.623138	7.369200
Zm00001eb000190	3.988364	5.554132	4.980155	1.872206	6.096998	0.375988	25.964064	7.236929	22.495304
Zm00001eb000210	8.295100	15.897311	16.938602	0.087822	18.880150	5.751754	10.539345	20.857136	22.492586
Zm00001eb000220	13.234138	16.717064	16.056583	7.372184	15.511197	0.000000	1.726797	9.915802	11.815371
Zm00001eb000230	15.313717	4.360903	5.658227	5.265265	3.792540	3.598367	0.000000	2.204231	3.023577
Zm00001eb000240	1.511475	0.084794	0.000000	1.556704	0.000000	2.868848	0.947037	0.093330	0.164255
Zm00001eb000250	0.126898	3.452204	4.962673	20.957209	7.330692	27.907766	15.281968	4.878895	10.224340
Zm00001eb000270	4.167196	0.000000	0.000000	4.037910	0.421859	4.940015	0.758147	0.000000	7.158441
Zm00001eb000290	0.000000	4.081774	6.435212	5.203089	72.211815	6.804871	9.004501	14.095556	2.732468
Zm00001eb000300	4.594966	1.711865	1.937528	1.093046	1.606339	1.648939	3.631303	2.549936	19.538055
Zm00001eb000310	1.091626	24.637156	25.007711	29.408861	11.343738	66.599236	6.467338	10.727653	3.613359
Zm00001eb000320	16.943731	3.216980	2.866001	0.109239	0.318967	0.114638	1.174257	2.503615	6.075857
Zm00001eb000330	2.350792	4.116502	5.418488	5.922676	0.000000	9.852843	12.805350	6.732579	7.049212
Zm00001eb000340	3.063620	2.957152	2.090975	0.224660	5.049459	0.313938	0.106229	10.180693	25.517685
Zm00001eb000360	0.000000	67.088531	66.398689	39.081596	1.625398	35.309349	3.312094	12.562989	15.686286
Zm00001eb000370	3.403814	0.299955	0.590591	0.700670	21.745150	0.453596	0.368869	1.404131	6.256386
Zm00001eb000380	34.764950	8.438654	8.005969	14.801761	3.041953	43.845062	72.745583	2.828132	0.168976
Zm00001eb000390	0.578708	0.302658	0.419902	6.834979	5.744051	6.908147	0.000000	0.501252	69.329567
Zm00001eb000400	6.935905	31.157049	36.609402	0.000000	37.356209	0.854072	24.269112	74.400749	0.000000
Zm00001eb000410	0.164199	1.112571	1.175807	4.353697	8.688988	3.898464	2.550534	0.000000	54.140305
Zm00001eb000420	17.503244	73.798050	62.741116	102.552269	0.000000	101.422287	0.000000	49.386238	6.253906
Zm00001eb000430	0.000000	11.291059	11.001802	59.448608	5.327162	58.746929	4.681135	1.876315	0.000000
Zm00001eb000440	55.626492	0.000000	0.000000	3.961174	0.000000	3.705783	85.063805	0.000000	5.395139
Zm00001eb000450	12.534513	4.671569	4.543648	3.566416	51.987644	2.453353	94.459290	8.602926	84.716820
Zm00001eb000460	0.000000	83.158798	86.075485	5.170031	81.344711	5.717755	4.638130	96.037231	65.817284
Zm00001eb000470	5.166039	36.578423	42.489239	0.269185	0.130763	0.280332	2.418199	59.536503	4.997993
Zm00001eb000480	102.505013	3.202067	4.609621	5.953033	0.407001	3.686454	4.073244	3.383969	1.863839
Zm00001eb000490	16.433672	3.066066	2.674126	0.251205	3.816929	0.552991	0.626493	1.235004	5.968076
Zm00001eb000500	3.157860	4.331811	3.846402	1.566945	11.648145	22.704910	8.675105	4.934144	0.262185
Zm00001eb000510	3.533867	0.266469	0.110749	7.679777	0.094650	8.194033	0.567803	0.207459	3.874987
Zm00001eb000520	3.654529	3.449047	3.925241	0.128655	6.756744	0.062977	0.146104	6.355738	0.561337
Zm00001eb000540	0.036156	0.248166	0.447543	14.815245	47.846973	20.888279	8.763457	0.758944	2.791524
Zm00001eb000550	5.263935	16.046810	11.751206	2.877789	4.813423	2.179948	0.075665	0.348770	8.178972
Zm00001eb000570	0.153219	5.927857	6.647060	2.526001	2.509542	2.470894	14.561121	6.627737	0.449506
Zm00001eb000580	5.536332	0.032816	0.075932	63.678852	5.394374	95.476776	3.753357	0.112380	24.029861
Zm00001eb000590	6.773984	18.183113	19.903820	42.454887	0.000000	52.903393	3.917682	15.917014	2.721419
Zm00001eb000600	0.331870	2.599568	2.078282	4.915876	2.647189	3.812991	13.316295	3.280318	3.002292
Zm00001eb000620	14.921607	1.878485	2.265862	22.105827	19.752480	22.493935	57.240910	3.188658	50.429058
Zm00001eb000640	1.886988	147.308655	237.899384	43.511047	2.113187	38.340576	8.983745	4.476825	63.356892
Zm00001eb000650	1.034925	61.466450	63.946289	3.973861	71.701950	3.791987	29.812332	48.162560	3.870058
Zm00001eb000660	115.865013	4.985115	4.090913	1.180235	68.504265	0.904960	69.776276	1.984534	19.127380
Zm00001eb000670	53.213966	17.421263	19.450829	1.707341	6.198405	1.008883	5.756661	23.220304	45.329338
Zm00001eb000680	5.057993	44.645638	52.018833	0.433499	21.979729	0.450046	1.513523	57.347145	6.490186
Zm00001eb000690	19.869776	3.139387	2.811892	0.037510	40.966652	0.032609	1.578249	5.132112	0.627900
Zm00001eb000700	55.725117	0.685944	0.607175	139.115860	6.918510	131.639191	0.441872	0.425828	1.303543
Zm00001eb000710	2.847281	0.600832	0.689887	12.021132	46.387524	13.142193	0.052862	1.180499	0.427740
Zm00001eb000720	0.919537	0.360409	0.390306	13.986879	3.685397	12.893884	74.068199	0.421737	0.000000
Zm00001eb000740	0.732357	0.029901	0.000000	13.100091	0.972918	14.016775	16.439512	72.690689	111.374695
Zm00001eb000750	0.346790	162.269592	146.406815	0.000000	1.027299	8.348366	17.097622	12.175660	12.805365
Zm00001eb000760	0.040618	9.593535	10.064989	5.194419	0.195712	42.513237	23.122374	11.387999	7.787765
Zm00001eb000770	139.379028	14.955219	10.774473	54.638401	0.050658	11.899484	0.000000	16.151817	16.710596
Zm00001eb000780	9.690447	10.564671	12.415301	0.160817	117.019241	6.650385	4.919391	0.000000	6.852297
Zm00001eb000790	12.929497	0.000000	0.000000	8.575203	11.628680	3.569278	74.599792	5.479379	47.840504
Zm00001eb000800	8.729841	7.201532	6.724933	6.773756	11.564172	5.865735	9.844197	0.065880	9.827538
